"Country or Area","Year","Unit","Value","Value Footnotes"
"Finland","2006","Mil. USD","25.0896694331512",""
"Finland","2005","Metric tons","2050",""
"Finland","2005","Mil. USD","26.1155051484853",""
"Finland","2004","Metric tons","2054",""
"Finland","2004","Mil. USD","24.8334606048189",""
"Finland","2003","Metric tons","1899",""
"Finland","2003","Mil. USD","22.5724929719603",""
"Finland","2002","Metric tons","2220",""
"Finland","2002","Mil. USD","18.8226141160194",""
"Finland","2001","Metric tons","2010",""
"Finland","2001","Mil. USD","16.1072384139739",""
"Finland","2000","Metric tons","1894",""
"Finland","2000","Mil. USD","15.6624165726794",""
"Finland","1999","Metric tons","1979",""
"Finland","1999","Mil. USD","19.176941117569",""
"Finland","1998","Metric tons","2132",""
"Finland","1998","Mil. USD","21.1391239410567",""
"Finland","1997","Metric tons","3927",""
"Finland","1997","Mil. USD","26.3418091529606",""
"France","2004","Mil. USD","57.2427147939133",""
"France","2003","Mil. USD","44.3951875444984",""
"France","2002","Mil. USD","44.8154179169325",""
"France","2001","Mil. USD","88.8197913217779",""
"France","2000","Mil. USD","0",""
"Georgia","2003","Metric tons","11",""
"Georgia","2002","Metric tons","8",""
"Georgia","2001","Metric tons","5",""
"Georgia","2000","Metric tons","5",""
"Georgia","1999","Metric tons","40",""
"Georgia","1998","Metric tons","59",""
"Georgia","1997","Metric tons","61",""
"Georgia","1996","Metric tons","201",""
"Georgia","1995","Metric tons","323",""
"Germany","2016","Metric tons","2178.375",""
"Germany","2016","Mil. USD","25.5889237967753",""
"Germany","2015","Metric tons","2191.32",""
"Germany","2015","Mil. USD","24.2101347848634",""
"Germany","2013","Metric tons","2125.895",""
"Germany","2013","Mil. USD","33.7196539681833",""
"Germany","2012","Metric tons","2439.009",""
"Germany","2012","Mil. USD","36.4570499478789",""
"Germany","2011","Metric tons","3931.146",""
"Germany","2011","Mil. USD","65.5758911921124",""
"Germany","2010","Metric tons","3687.872",""
"Germany","2010","Mil. USD","46.9057953525352",""
"Germany","2009","Metric tons","2176.57",""
"Germany","2009","Mil. USD","26.6519482873521",""
"Germany","2008","Metric tons","3191.806",""
"Germany","2008","Mil. USD","44.2274592904775",""
"Germany","2007","Metric tons","4395.97",""
"Germany","2007","Mil. USD","59.3272669415408",""
"Germany","2006","Metric tons","4251.271",""
"Germany","2006","Mil. USD","49.0625136294402",""
"Germany","2005","Metric tons","4931.607",""
"Germany","2005","Mil. USD","62.8249303586529",""
"Germany","2004","Metric tons","6289.966",""
"Germany","2004","Mil. USD","79.1927896047134",""
"Germany","2003","Metric tons","7390.324",""
"Germany","2003","Mil. USD","90.3053042536922",""
"Germany","2002","Metric tons","10248.877",""
"Germany","2002","Mil. USD","103.680876380913",""
"Germany","2001","Metric tons","12770.809",""
"Germany","2001","Mil. USD","120.920016099185",""
"Germany","2000","Metric tons","13278.218",""
"Germany","2000","Mil. USD","127.532165217612",""
"Germany","1999","Metric tons","15581.207",""
"Germany","1999","Mil. USD","168.375417839512",""
"Germany","1998","Metric tons","23125.366",""
"Germany","1998","Mil. USD","269.431922256145",""
"Germany","1997","Metric tons","26165.502",""
"Germany","1997","Mil. USD","329.998351264699",""
"Germany","1996","Metric tons","25821.292",""
"Germany","1996","Mil. USD","346.555687592518",""
"Germany","1995","Metric tons","30885.401",""
"Germany","1995","Mil. USD","453.248486793503",""
"Hungary","2010","Metric tons","560",""
"Hungary","2010","Mil. USD","2.06305378446939",""
"Hungary","2008","Metric tons","10",""
"Hungary","2008","Mil. USD","0.133632877561297",""
"Hungary","2006","Metric tons","973",""
"Hungary","2006","Mil. USD","4.33005370977708",""
"Hungary","2005","Metric tons","937",""
"Hungary","2005","Mil. USD","1.42798091014994",""
"Hungary","2004","Metric tons","817",""
"Hungary","2004","Mil. USD","1.36131034341027",""
"Hungary","2003","Metric tons","633",""
"Hungary","2003","Mil. USD","0.557272781311299",""
"Hungary","2002","Metric tons","229",""
"Hungary","2002","Mil. USD","0.325724478453067",""
"India","2015","Mil. USD","392.418721083299",""
"India","2014","Mil. USD","249.726794238042",""
"India","2013","Mil. USD","229.375481362195",""
"India","2012","Mil. USD","351.478734127675",""
"India","2011","Mil. USD","246.889492384863",""
"India","2005","Metric tons","52270.331",""
"India","2005","Mil. USD","194.858234976324",""
"India","2004","Metric tons","45062.427",""
"India","2004","Mil. USD","151.886000239795",""
"India","2003","Metric tons","29567.058",""
"India","2003","Mil. USD","65.3872083192359",""
"Indonesia","2012","Mil. USD","7.6378856269352",""
"Iran (Islamic Republic of)","2008","Metric tons","3832",""
"Iran (Islamic Republic of)","2007","Metric tons","3359",""
"Iran (Islamic Republic of)","2004","Metric tons","30408",""
"Iran (Islamic Republic of)","2003","Metric tons","30099",""
"Iran (Islamic Republic of)","2002","Metric tons","29511",""
"Iran (Islamic Republic of)","2001","Metric tons","28394",""
"Iran (Islamic Republic of)","2000","Metric tons","28113",""
"Iran (Islamic Republic of)","1999","Metric tons","24506",""
"Iran (Islamic Republic of)","1998","Metric tons","27506",""
"Ireland","2004","Metric tons","0","4"
"Ireland","2004","Mil. USD","0","4"
"Ireland","2003","Metric tons","0","4"
"Ireland","2003","Mil. USD","0","4"
"Ireland","2002","Metric tons","0","4"
"Ireland","2002","Mil. USD","0","4"
"Ireland","2001","Metric tons","2.474","4"
"Ireland","2001","Mil. USD","0.0157296131578241","4"
"Ireland","2000","Metric tons","8.021","4"
"Ireland","2000","Mil. USD","0.0524893645281583","4"
"Ireland","1999","Metric tons","15.513","4"
"Ireland","1999","Mil. USD","0.117394841208051","4"
"Ireland","1998","Metric tons","19.628","4"
"Ireland","1998","Mil. USD","0.156361965185239","4"
"Ireland","1997","Metric tons","75.552","4"
"Ireland","1997","Mil. USD","0.640760102984574","4"
"Ireland","1996","Metric tons","48.782","4"
"Ireland","1996","Mil. USD","0.62418733433862","4"
"Ireland","1995","Metric tons","111.426","4"
"Ireland","1995","Mil. USD","1.57937287996472","4"
"Italy","2016","Metric tons","42327.56","3"
"Italy","2016","Mil. USD","715.198978418458","3"
"Italy","2004","Metric tons","178463.33",""
"Italy","2004","Mil. USD","1308.16089599126",""
"Italy","2003","Metric tons","180021.587",""
"Italy","2003","Mil. USD","1234.95576261638",""
"Japan","2016","Metric tons","11050",""
"Japan","2016","Mil. USD","190.113509245548",""
"Japan","2015","Metric tons","12428",""
"Japan","2015","Mil. USD","179.918008130161",""
"Japan","2014","Metric tons","11395",""
"Japan","2014","Mil. USD","190.325562143547",""
"Japan","2013","Metric tons","11558",""
"Japan","2013","Mil. USD","184.137289677801",""
"Japan","2012","Metric tons","11888",""
"Japan","2012","Mil. USD","232.834856542104",""
"Japan","2011","Metric tons","11536",""
"Japan","2011","Mil. USD","235.944150098093",""
"Japan","2010","Metric tons","10193",""
"Japan","2010","Mil. USD","175.769218172161",""
"Japan","2009","Metric tons","8226",""
"Japan","2009","Mil. USD","129.827812696631",""
"Japan","2008","Metric tons","13899",""
"Japan","2008","Mil. USD","214.784333278746",""
"Japan","2007","Mil. USD","249.716507081333",""
"Japan","2006","Mil. USD","257.267214837485",""
"Japan","2005","Mil. USD","267.024836957146",""
"Japan","2004","Mil. USD","314.938449677724",""
"Japan","2003","Mil. USD","323.978932829984",""
"Japan","2002","Mil. USD","306.552414301304",""
"Japan","2001","Mil. USD","381.020332624867",""
"Japan","2000","Mil. USD","526.782698340112",""
"Japan","1999","Mil. USD","626.91601261224",""
"Japan","1998","Mil. USD","657.154443417469",""
"Japan","1997","Mil. USD","857.651543727114",""
"Kazakhstan","2016","Metric tons","10",""
"Kazakhstan","2013","Metric tons","37",""
"Kazakhstan","2012","Metric tons","56",""
"Kazakhstan","2011","Metric tons","54",""
"Kazakhstan","2010","Metric tons","70",""
"Kazakhstan","2009","Metric tons","134",""
"Kazakhstan","2008","Metric tons","79",""
"Kazakhstan","2007","Metric tons","148",""
"Kazakhstan","2006","Metric tons","195",""
"Kazakhstan","2005","Metric tons","350",""
"Kazakhstan","2004","Metric tons","269",""
"Kazakhstan","2003","Metric tons","367",""
"Kazakhstan","2002","Metric tons","389",""
"Kazakhstan","2001","Metric tons","510",""
"Kazakhstan","2000","Metric tons","319",""
"Kazakhstan","1999","Metric tons","1428",""
"Kazakhstan","1998","Metric tons","455",""
"Kyrgyzstan","2016","Metric tons","412.3",""
"Kyrgyzstan","2015","Metric tons","503.3",""
"Kyrgyzstan","2014","Metric tons","479.6",""
"Kyrgyzstan","2013","Metric tons","538.9",""
"Kyrgyzstan","2012","Metric tons","468.1",""
"Kyrgyzstan","2011","Metric tons","386.4",""
"Kyrgyzstan","2010","Metric tons","412.2",""
"Kyrgyzstan","2009","Metric tons","272.9",""
"Kyrgyzstan","2008","Metric tons","414.9",""
"Kyrgyzstan","2007","Metric tons","766.1",""
"Kyrgyzstan","2006","Metric tons","801.8",""
"Kyrgyzstan","2005","Metric tons","347",""
"Kyrgyzstan","2004","Metric tons","171.2",""
"Kyrgyzstan","2003","Metric tons","138.9",""
"Kyrgyzstan","2002","Metric tons","182.1",""
"Kyrgyzstan","2001","Metric tons","322.2",""
"Kyrgyzstan","2000","Metric tons","448.5",""
"Kyrgyzstan","1999","Metric tons","543.7",""
"Kyrgyzstan","1998","Metric tons","1256.4",""
"Kyrgyzstan","1997","Metric tons","2127.9",""
"Latvia","2015","Metric tons","53.558",""
"Latvia","2015","Mil. USD","0.582372074287662",""
"Latvia","2000","Metric tons","267.2",""
"Latvia","1999","Metric tons","241.9",""
"Lithuania","2016","Metric tons","10666.384","3"
"Lithuania","2016","Mil. USD","39.1577704268147","3"
"Lithuania","2015","Metric tons","9081.612",""
"Lithuania","2015","Mil. USD","35.030532110893",""
"Lithuania","2014","Metric tons","8339.224",""
"Lithuania","2014","Mil. USD","37.4615384615385",""
"Lithuania","2013","Metric tons","6992.936",""
"Lithuania","2013","Mil. USD","32.7180804922089",""
"Lithuania","2012","Metric tons","6640.694",""
"Lithuania","2012","Mil. USD","29.8552834600915",""
"Lithuania","2011","Metric tons","7513.983",""
"Lithuania","2011","Mil. USD","33.101808581877",""
"Lithuania","2010","Metric tons","7114.776",""
"Lithuania","2010","Mil. USD","25.9560429722471",""
"Lithuania","2009","Metric tons","6026.954",""
"Lithuania","2009","Mil. USD","23.1162759490614",""
"Lithuania","2008","Metric tons","4105.8",""
"Lithuania","2008","Mil. USD","22.6551976496293",""
"Lithuania","2007","Metric tons","6090.3",""
"Lithuania","2007","Mil. USD","25.6367076444541",""
